Pilgrim_ID,Country,Gender,Age_Group,Accommodation_Type,Transport_Type,Stay_Duration,Estimated_Spending_SAR,Group_Size
376,Bangladesh,Male,18-30,Hotel (3 Star),Group Transport,7 days,13959,3
377,Turkey,Male,46-60,Hotel (5 Star),Private Car,21 days,33261,5
378,India,Male,31-45,Camp (Mina),Train (Haramain),10 days,20835,3
379,UK,Female,46-60,Apartment,Group Transport,10 days,24257,2
380,Indonesia,Female,31-45,Hotel (3 Star),Bus,7 days,8346,4
381,Pakistan,Female,31-45,Camp (Mina),Train (Haramain),7 days,35807,1
382,Bangladesh,Male,18-30,Apartment,Bus,21 days,35418,4
383,Indonesia,Male,60+,Camp (Mina),Bus,14 days,16340,2
384,UK,Female,60+,Apartment,Group Transport,21 days,38012,1
385,Malaysia,Female,18-30,Camp (Mina),Group Transport,14 days,14597,3
386,UK,Female,46-60,Hotel (3 Star),Private Car,10 days,30557,5
387,Egypt,Female,60+,Hotel (3 Star),Private Car,14 days,12737,5
388,UK,Female,18-30,Hotel (5 Star),Private Car,14 days,22276,4
389,Egypt,Female,18-30,Camp (Mina),Train (Haramain),10 days,12310,3
390,Malaysia,Male,60+,Hotel (5 Star),Private Car,10 days,24344,2
391,UAE,Female,46-60,Camp (Mina),Bus,10 days,15391,5
392,Egypt,Male,18-30,Apartment,Private Car,21 days,15892,3
393,Pakistan,Male,31-45,Apartment,Group Transport,10 days,16197,4
394,UK,Female,46-60,Hotel (5 Star),Private Car,7 days,18050,1
395,UK,Female,46-60,Camp (Mina),Train (Haramain),10 days,18535,4
396,Pakistan,Male,60+,Hotel (5 Star),Train (Haramain),10 days,10122,4
397,India,Female,60+,Hotel (3 Star),Bus,10 days,14852,3
398,Nigeria,Female,31-45,Hotel (5 Star),Train (Haramain),14 days,10387,5
399,UAE,Male,18-30,Hotel (5 Star),Private Car,21 days,36759,3
400,Bangladesh,Male,60+,Apartment,Group Transport,10 days,39878,1
401,Egypt,Male,60+,Hotel (5 Star),Train (Haramain),21 days,38725,3
402,Pakistan,Female,46-60,Camp (Mina),Bus,7 days,12146,2
403,Malaysia,Male,60+,Apartment,Private Car,7 days,5560,4
404,Egypt,Female,60+,Hotel (5 Star),Bus,10 days,6312,5
405,Nigeria,Male,60+,Hotel (3 Star),Train (Haramain),7 days,23205,1
406,Malaysia,Male,60+,Hotel (5 Star),Train (Haramain),21 days,16595,4
407,Indonesia,Male,46-60,Hotel (5 Star),Bus,14 days,27030,3
408,UK,Female,31-45,Hotel (5 Star),Private Car,10 days,26329,2
409,Indonesia,Female,31-45,Apartment,Train (Haramain),7 days,7651,3
410,Egypt,Male,18-30,Camp (Mina),Group Transport,21 days,15006,4
411,Nigeria,Male,60+,Hotel (3 Star),Train (Haramain),21 days,26966,1
412,UAE,Male,46-60,Hotel (5 Star),Private Car,7 days,32846,5
413,Egypt,Female,18-30,Camp (Mina),Train (Haramain),21 days,26774,4
414,Pakistan,Male,18-30,Camp (Mina),Bus,21 days,9083,1
415,Turkey,Female,31-45,Apartment,Train (Haramain),10 days,38513,4
416,Egypt,Male,46-60,Hotel (3 Star),Train (Haramain),21 days,13749,2
417,UK,Male,46-60,Apartment,Private Car,7 days,35783,3
418,UK,Male,46-60,Camp (Mina),Bus,10 days,22325,5
419,Egypt,Male,31-45,Camp (Mina),Private Car,7 days,23680,1
420,Malaysia,Male,31-45,Camp (Mina),Train (Haramain),14 days,22323,5
421,Turkey,Male,31-45,Apartment,Group Transport,7 days,27684,5
422,Pakistan,Female,31-45,Hotel (3 Star),Train (Haramain),7 days,39493,5
423,Egypt,Male,31-45,Hotel (5 Star),Private Car,10 days,17213,1
424,Malaysia,Female,60+,Apartment,Group Transport,21 days,36831,1
425,UK,Male,60+,Camp (Mina),Private Car,7 days,32713,5
426,UK,Male,46-60,Apartment,Private Car,10 days,12187,3
427,Nigeria,Female,18-30,Camp (Mina),Bus,14 days,37800,4
428,Egypt,Male,46-60,Hotel (5 Star),Group Transport,10 days,37583,5
429,Turkey,Female,18-30,Hotel (5 Star),Train (Haramain),10 days,19408,2
430,India,Female,31-45,Hotel (3 Star),Private Car,21 days,27369,5
431,Turkey,Male,18-30,Camp (Mina),Train (Haramain),7 days,8414,1
432,UK,Female,46-60,Hotel (3 Star),Bus,14 days,24510,4
433,UK,Female,46-60,Hotel (3 Star),Bus,10 days,17120,2
434,Indonesia,Male,18-30,Hotel (5 Star),Group Transport,7 days,39311,4
435,UK,Female,60+,Apartment,Bus,7 days,38039,4
436,Pakistan,Male,31-45,Apartment,Bus,10 days,10295,2
437,Bangladesh,Male,31-45,Hotel (3 Star),Train (Haramain),7 days,25460,5
438,Egypt,Male,46-60,Hotel (5 Star),Bus,10 days,19963,5
439,Turkey,Male,60+,Camp (Mina),Bus,10 days,16580,5
440,Bangladesh,Female,18-30,Apartment,Private Car,10 days,27286,3
441,Malaysia,Male,31-45,Hotel (3 Star),Bus,14 days,32328,5
442,India,Male,60+,Apartment,Private Car,10 days,24093,2
443,Pakistan,Female,31-45,Apartment,Bus,21 days,26605,3
444,Turkey,Male,60+,Camp (Mina),Bus,7 days,11722,5
445,Bangladesh,Male,60+,Hotel (5 Star),Group Transport,14 days,11766,3
446,India,Female,46-60,Camp (Mina),Group Transport,7 days,20928,2
447,Indonesia,Female,31-45,Hotel (5 Star),Private Car,14 days,26274,5
448,Pakistan,Female,18-30,Apartment,Bus,21 days,39416,1
449,Pakistan,Female,46-60,Hotel (3 Star),Train (Haramain),14 days,25612,2
450,Indonesia,Female,46-60,Camp (Mina),Group Transport,14 days,39898,4
451,Egypt,Female,18-30,Hotel (5 Star),Train (Haramain),14 days,34047,4
452,Indonesia,Female,46-60,Apartment,Group Transport,7 days,6506,2
453,Pakistan,Male,60+,Hotel (5 Star),Group Transport,10 days,20222,4
454,Pakistan,Female,60+,Hotel (5 Star),Bus,7 days,17363,2
455,Bangladesh,Female,31-45,Hotel (5 Star),Group Transport,10 days,24613,1
456,UK,Female,31-45,Apartment,Train (Haramain),7 days,35628,2
457,India,Male,18-30,Hotel (3 Star),Group Transport,21 days,9136,5
458,Indonesia,Male,31-45,Hotel (3 Star),Private Car,21 days,16161,5
459,India,Female,60+,Hotel (3 Star),Bus,14 days,28574,3
460,Indonesia,Female,18-30,Hotel (5 Star),Bus,21 days,31902,4
461,Malaysia,Female,18-30,Apartment,Private Car,14 days,7810,4
462,Pakistan,Male,31-45,Hotel (5 Star),Private Car,10 days,16663,2
463,UK,Male,60+,Hotel (3 Star),Private Car,21 days,11152,4
464,Bangladesh,Female,18-30,Hotel (3 Star),Group Transport,10 days,5012,5
465,UK,Male,60+,Apartment,Bus,7 days,16162,1
466,UK,Female,60+,Hotel (5 Star),Private Car,10 days,27322,2
467,UK,Male,60+,Camp (Mina),Group Transport,7 days,12999,4
468,India,Male,31-45,Camp (Mina),Private Car,10 days,12219,5
469,Indonesia,Female,46-60,Hotel (3 Star),Train (Haramain),10 days,10328,3
470,UAE,Female,46-60,Apartment,Train (Haramain),21 days,8621,4
471,Malaysia,Female,18-30,Hotel (5 Star),Bus,10 days,29256,1
472,Turkey,Female,60+,Hotel (5 Star),Group Transport,21 days,16314,1
473,UK,Male,31-45,Hotel (3 Star),Train (Haramain),21 days,5652,4
474,Egypt,Male,60+,Hotel (3 Star),Train (Haramain),14 days,21182,4
475,India,Male,60+,Hotel (5 Star),Group Transport,14 days,20659,5
476,Bangladesh,Female,31-45,Hotel (5 Star),Private Car,7 days,39413,4
477,Turkey,Male,46-60,Hotel (3 Star),Group Transport,10 days,15435,3
478,UAE,Female,60+,Hotel (5 Star),Private Car,7 days,33067,5
479,Egypt,Male,60+,Camp (Mina),Train (Haramain),10 days,27258,2
480,UAE,Female,46-60,Hotel (3 Star),Train (Haramain),14 days,33287,3
481,Turkey,Female,31-45,Hotel (5 Star),Train (Haramain),14 days,8688,5
482,UK,Male,18-30,Hotel (3 Star),Bus,10 days,12689,5
483,Egypt,Female,46-60,Apartment,Bus,10 days,6379,1
484,UAE,Female,18-30,Hotel (3 Star),Bus,14 days,32624,5
485,Bangladesh,Male,18-30,Hotel (3 Star),Group Transport,14 days,30964,3
486,Indonesia,Female,46-60,Apartment,Train (Haramain),7 days,27891,4
487,Pakistan,Female,60+,Camp (Mina),Train (Haramain),14 days,17516,3
488,Indonesia,Female,18-30,Hotel (5 Star),Group Transport,10 days,18886,2
489,Turkey,Male,18-30,Apartment,Bus,7 days,25307,5
490,India,Male,31-45,Hotel (3 Star),Group Transport,10 days,29843,5
491,Pakistan,Female,60+,Hotel (5 Star),Bus,21 days,10912,5
492,Malaysia,Male,18-30,Apartment,Train (Haramain),7 days,26514,5
493,Bangladesh,Female,31-45,Hotel (5 Star),Private Car,10 days,26823,1
494,Malaysia,Female,60+,Hotel (5 Star),Bus,14 days,33797,1
495,Egypt,Female,46-60,Apartment,Train (Haramain),21 days,11449,4
496,Pakistan,Female,46-60,Hotel (5 Star),Train (Haramain),10 days,6725,5
497,Malaysia,Female,31-45,Camp (Mina),Private Car,7 days,20870,2
498,Malaysia,Male,46-60,Apartment,Train (Haramain),10 days,14304,4
499,UAE,Female,18-30,Camp (Mina),Train (Haramain),21 days,12522,5
500,Indonesia,Male,60+,Hotel (3 Star),Bus,7 days,18663,1
501,UAE,Male,18-30,Hotel (5 Star),Bus,21 days,9784,2
502,Pakistan,Female,18-30,Hotel (3 Star),Private Car,10 days,14472,4
503,Pakistan,Female,46-60,Hotel (3 Star),Private Car,14 days,33952,2
504,Turkey,Male,18-30,Hotel (5 Star),Train (Haramain),14 days,15055,5
505,UAE,Male,46-60,Apartment,Bus,10 days,34508,3
506,Nigeria,Male,60+,Hotel (5 Star),Private Car,10 days,17676,2
507,Indonesia,Female,60+,Hotel (3 Star),Private Car,10 days,30192,2
508,Pakistan,Male,18-30,Hotel (3 Star),Group Transport,7 days,29722,1
509,Turkey,Female,31-45,Apartment,Private Car,21 days,12446,5
510,UAE,Female,46-60,Hotel (5 Star),Train (Haramain),21 days,9725,2
511,Indonesia,Female,46-60,Hotel (3 Star),Bus,21 days,25061,5
512,UAE,Male,18-30,Camp (Mina),Private Car,10 days,27671,1
513,Malaysia,Female,46-60,Hotel (3 Star),Group Transport,21 days,6409,5
514,Turkey,Female,46-60,Hotel (3 Star),Bus,10 days,13205,1
515,Indonesia,Female,31-45,Apartment,Private Car,7 days,21365,1
516,UK,Female,31-45,Camp (Mina),Group Transport,14 days,5256,4
517,Egypt,Female,18-30,Hotel (3 Star),Private Car,10 days,20704,5
518,Egypt,Male,31-45,Hotel (3 Star),Bus,10 days,34902,3
519,Indonesia,Female,18-30,Camp (Mina),Bus,14 days,6195,4
520,UAE,Female,60+,Hotel (5 Star),Bus,14 days,39012,1
521,Turkey,Male,18-30,Hotel (5 Star),Train (Haramain),7 days,16415,3
522,Egypt,Female,60+,Hotel (3 Star),Private Car,21 days,26686,2
523,Turkey,Male,18-30,Hotel (3 Star),Train (Haramain),10 days,16662,2
524,Egypt,Female,46-60,Hotel (5 Star),Bus,21 days,33743,4
525,Malaysia,Male,31-45,Apartment,Group Transport,10 days,37161,3
526,UAE,Male,60+,Camp (Mina),Private Car,7 days,7402,5
527,Malaysia,Female,18-30,Camp (Mina),Train (Haramain),14 days,18275,3
528,Egypt,Female,31-45,Apartment,Private Car,7 days,33182,4
529,UK,Female,18-30,Apartment,Group Transport,14 days,19915,5
530,UK,Male,31-45,Apartment,Train (Haramain),21 days,5909,5
531,Malaysia,Male,31-45,Apartment,Bus,21 days,5372,2
532,UK,Male,18-30,Apartment,Train (Haramain),7 days,27620,3
533,Egypt,Female,60+,Apartment,Private Car,14 days,39112,5
534,Indonesia,Male,60+,Camp (Mina),Private Car,7 days,13515,4
535,Malaysia,Male,46-60,Apartment,Private Car,14 days,7431,2
536,India,Female,31-45,Hotel (5 Star),Private Car,14 days,26054,5
537,UAE,Male,46-60,Apartment,Bus,21 days,37624,3
538,UK,Male,46-60,Apartment,Train (Haramain),21 days,15585,2
539,UK,Female,18-30,Camp (Mina),Bus,14 days,36958,3
540,Pakistan,Male,18-30,Camp (Mina),Bus,14 days,6695,3
541,Nigeria,Female,18-30,Apartment,Bus,14 days,39675,3
542,Malaysia,Female,31-45,Camp (Mina),Private Car,21 days,38787,2
543,Bangladesh,Female,18-30,Hotel (3 Star),Private Car,21 days,6403,5
544,UK,Female,18-30,Camp (Mina),Private Car,10 days,22810,1
545,UAE,Female,31-45,Camp (Mina),Train (Haramain),14 days,13855,5
546,India,Male,31-45,Camp (Mina),Group Transport,10 days,15839,2
547,UK,Male,60+,Camp (Mina),Private Car,14 days,5010,1
548,India,Female,18-30,Hotel (5 Star),Train (Haramain),21 days,14230,1
549,Egypt,Female,18-30,Hotel (5 Star),Private Car,10 days,34256,1
550,Egypt,Male,18-30,Hotel (5 Star),Private Car,10 days,30651,4
551,Nigeria,Female,60+,Apartment,Bus,7 days,37383,2
552,Indonesia,Female,18-30,Apartment,Bus,14 days,18662,4
553,Bangladesh,Female,60+,Hotel (3 Star),Bus,21 days,18739,1
554,Pakistan,Male,46-60,Hotel (5 Star),Train (Haramain),7 days,6789,4
555,Nigeria,Male,60+,Apartment,Group Transport,7 days,24420,4
556,Turkey,Female,46-60,Camp (Mina),Group Transport,14 days,28761,2
557,Pakistan,Female,18-30,Camp (Mina),Train (Haramain),7 days,22357,3
558,Malaysia,Male,46-60,Hotel (5 Star),Private Car,14 days,16317,4
559,UAE,Male,60+,Hotel (3 Star),Train (Haramain),7 days,26534,4
560,Turkey,Female,31-45,Hotel (3 Star),Private Car,14 days,30734,1
561,Turkey,Female,46-60,Camp (Mina),Train (Haramain),21 days,37872,1
562,Nigeria,Male,46-60,Hotel (3 Star),Train (Haramain),14 days,12689,1
563,Indonesia,Male,18-30,Hotel (5 Star),Train (Haramain),14 days,8567,5
564,Nigeria,Male,60+,Camp (Mina),Group Transport,10 days,25732,4
565,Malaysia,Female,46-60,Apartment,Bus,21 days,25774,1
566,UK,Male,46-60,Apartment,Train (Haramain),21 days,28195,2
567,UK,Female,46-60,Hotel (3 Star),Group Transport,21 days,27257,5
568,Indonesia,Male,46-60,Camp (Mina),Bus,7 days,9394,3
569,Malaysia,Male,31-45,Camp (Mina),Bus,10 days,27228,4
570,Indonesia,Male,60+,Apartment,Train (Haramain),21 days,17388,4
571,India,Male,18-30,Camp (Mina),Private Car,7 days,16319,2
572,UK,Female,18-30,Camp (Mina),Private Car,7 days,11475,3
573,Turkey,Female,31-45,Camp (Mina),Private Car,7 days,36555,3
574,Bangladesh,Male,60+,Hotel (3 Star),Train (Haramain),10 days,23158,5
575,UAE,Female,46-60,Camp (Mina),Private Car,7 days,19728,4
576,Malaysia,Male,31-45,Hotel (5 Star),Group Transport,10 days,34545,1
577,Pakistan,Male,60+,Hotel (3 Star),Group Transport,14 days,36100,2
578,Indonesia,Male,46-60,Camp (Mina),Group Transport,7 days,21150,2
579,UAE,Male,31-45,Camp (Mina),Group Transport,21 days,38214,2
580,Pakistan,Female,60+,Hotel (5 Star),Bus,7 days,37876,2
581,UAE,Male,18-30,Hotel (3 Star),Group Transport,14 days,8239,1
582,Bangladesh,Male,18-30,Apartment,Private Car,14 days,35615,1
583,Pakistan,Female,60+,Apartment,Train (Haramain),7 days,18746,5
584,Nigeria,Male,18-30,Hotel (3 Star),Private Car,14 days,25921,4
585,Egypt,Male,60+,Camp (Mina),Group Transport,10 days,27745,1
586,Nigeria,Male,46-60,Camp (Mina),Bus,10 days,6245,5
587,UK,Female,60+,Apartment,Group Transport,7 days,29853,3
588,Egypt,Male,46-60,Apartment,Train (Haramain),10 days,32632,4
589,Nigeria,Female,31-45,Apartment,Private Car,10 days,17856,1
590,Egypt,Male,60+,Hotel (5 Star),Train (Haramain),21 days,10105,3
591,Egypt,Male,31-45,Apartment,Train (Haramain),7 days,7513,5
592,Turkey,Female,18-30,Hotel (5 Star),Train (Haramain),14 days,7801,1
593,Indonesia,Male,46-60,Hotel (3 Star),Private Car,7 days,37345,1
594,Indonesia,Male,60+,Camp (Mina),Group Transport,10 days,18895,3
595,Turkey,Female,31-45,Apartment,Train (Haramain),21 days,13221,1
596,UAE,Female,46-60,Camp (Mina),Private Car,7 days,11038,2
597,India,Female,46-60,Camp (Mina),Bus,7 days,37031,1
598,UAE,Female,18-30,Apartment,Private Car,10 days,20082,4
599,Pakistan,Female,18-30,Apartment,Bus,10 days,19648,3
600,Pakistan,Male,46-60,Hotel (3 Star),Private Car,7 days,5364,4
601,Egypt,Female,46-60,Hotel (5 Star),Group Transport,10 days,39568,5
602,Nigeria,Male,60+,Hotel (5 Star),Train (Haramain),10 days,19110,4
603,Nigeria,Male,46-60,Camp (Mina),Group Transport,10 days,10958,2
604,Indonesia,Male,60+,Apartment,Private Car,10 days,14096,2
605,Malaysia,Female,46-60,Hotel (3 Star),Train (Haramain),10 days,12436,4
606,UAE,Female,18-30,Hotel (3 Star),Bus,21 days,26177,5
607,UK,Male,60+,Hotel (3 Star),Private Car,10 days,31754,1
608,Bangladesh,Female,31-45,Hotel (3 Star),Train (Haramain),14 days,29544,2
609,Nigeria,Female,18-30,Hotel (3 Star),Bus,7 days,17638,4
610,Bangladesh,Female,60+,Hotel (5 Star),Bus,21 days,5179,4
611,Egypt,Female,60+,Hotel (5 Star),Group Transport,21 days,8873,4
612,Bangladesh,Male,31-45,Hotel (5 Star),Private Car,10 days,22570,1
613,UK,Male,60+,Apartment,Bus,7 days,22157,3
614,Turkey,Female,46-60,Camp (Mina),Train (Haramain),14 days,9460,5
615,UK,Male,31-45,Hotel (3 Star),Bus,10 days,5352,3
616,Bangladesh,Female,18-30,Apartment,Bus,7 days,26586,5
617,UK,Female,18-30,Hotel (3 Star),Group Transport,10 days,10344,5
618,India,Male,46-60,Hotel (5 Star),Group Transport,10 days,9507,4
619,Egypt,Male,18-30,Apartment,Train (Haramain),10 days,37885,2
620,UAE,Male,60+,Hotel (5 Star),Group Transport,10 days,21865,4
621,Turkey,Female,60+,Hotel (3 Star),Bus,10 days,32213,1
622,Nigeria,Male,46-60,Hotel (3 Star),Bus,10 days,9477,5
623,Pakistan,Female,18-30,Camp (Mina),Group Transport,10 days,11533,2
624,UAE,Male,18-30,Hotel (3 Star),Bus,14 days,28396,5
625,Pakistan,Male,46-60,Hotel (5 Star),Bus,21 days,17755,5
626,Egypt,Female,31-45,Hotel (3 Star),Train (Haramain),14 days,5865,4
627,Turkey,Female,18-30,Camp (Mina),Group Transport,10 days,16173,2
628,Indonesia,Female,31-45,Camp (Mina),Bus,10 days,38371,2
629,Nigeria,Female,18-30,Hotel (5 Star),Group Transport,14 days,16254,5
630,India,Female,18-30,Apartment,Train (Haramain),14 days,9018,2
631,Indonesia,Female,18-30,Hotel (3 Star),Group Transport,21 days,10192,2
632,Egypt,Female,18-30,Camp (Mina),Bus,14 days,7015,4
633,UAE,Female,60+,Hotel (3 Star),Group Transport,21 days,8380,3
634,India,Male,31-45,Hotel (3 Star),Bus,10 days,33343,1
635,UK,Female,31-45,Apartment,Bus,7 days,8770,3
636,Bangladesh,Female,18-30,Camp (Mina),Bus,7 days,10829,2
637,India,Male,18-30,Hotel (3 Star),Train (Haramain),7 days,39381,5
638,Egypt,Female,31-45,Camp (Mina),Group Transport,7 days,20545,1
639,Malaysia,Male,60+,Hotel (5 Star),Train (Haramain),10 days,23263,1
640,Bangladesh,Male,46-60,Hotel (5 Star),Group Transport,7 days,30675,5
641,Pakistan,Female,46-60,Hotel (3 Star),Train (Haramain),14 days,30362,1
642,Nigeria,Male,31-45,Camp (Mina),Private Car,14 days,5148,5
643,Pakistan,Female,18-30,Hotel (3 Star),Bus,7 days,6754,1
644,India,Male,18-30,Camp (Mina),Bus,14 days,31745,3
645,Pakistan,Male,60+,Camp (Mina),Train (Haramain),21 days,12378,1
646,Egypt,Male,46-60,Apartment,Private Car,10 days,25140,4
647,UK,Female,60+,Apartment,Bus,7 days,14371,5
648,UAE,Female,46-60,Apartment,Group Transport,7 days,31999,1
649,Nigeria,Male,31-45,Hotel (3 Star),Train (Haramain),10 days,17779,5
650,Pakistan,Male,46-60,Apartment,Bus,14 days,36075,4
651,Pakistan,Female,60+,Apartment,Bus,10 days,35697,1
652,India,Female,60+,Hotel (5 Star),Train (Haramain),10 days,14795,1
653,UAE,Male,60+,Camp (Mina),Train (Haramain),14 days,9218,4
654,Indonesia,Male,31-45,Camp (Mina),Group Transport,10 days,16672,4
655,Pakistan,Female,46-60,Apartment,Group Transport,14 days,36042,4
656,Egypt,Female,46-60,Camp (Mina),Bus,14 days,16009,5
657,Malaysia,Female,60+,Hotel (5 Star),Bus,10 days,24544,4
658,Nigeria,Female,46-60,Hotel (5 Star),Train (Haramain),21 days,34381,5
659,Pakistan,Female,18-30,Apartment,Bus,14 days,30287,3
660,Egypt,Male,18-30,Hotel (5 Star),Bus,10 days,7586,1
661,Egypt,Female,18-30,Camp (Mina),Train (Haramain),14 days,7648,1
662,Nigeria,Male,46-60,Hotel (3 Star),Bus,21 days,23101,2
663,Indonesia,Female,31-45,Camp (Mina),Bus,21 days,26692,3
664,Egypt,Male,31-45,Hotel (3 Star),Private Car,7 days,12407,4
665,Malaysia,Female,31-45,Apartment,Group Transport,14 days,22254,4
666,Egypt,Female,31-45,Hotel (3 Star),Train (Haramain),14 days,20234,3
667,Egypt,Male,18-30,Hotel (5 Star),Private Car,10 days,27211,4
668,Egypt,Male,18-30,Camp (Mina),Group Transport,14 days,34480,2
669,UK,Female,60+,Hotel (3 Star),Group Transport,7 days,29846,5
670,UK,Female,46-60,Camp (Mina),Group Transport,21 days,20321,1
671,Indonesia,Female,46-60,Apartment,Private Car,21 days,17646,3
672,Pakistan,Female,31-45,Apartment,Private Car,7 days,27117,1
673,Egypt,Female,18-30,Hotel (5 Star),Group Transport,14 days,9893,5
674,UAE,Male,31-45,Apartment,Bus,14 days,14476,3
675,Pakistan,Male,60+,Hotel (3 Star),Bus,7 days,22270,5
676,Indonesia,Female,46-60,Apartment,Private Car,10 days,26702,4
677,Turkey,Male,46-60,Hotel (5 Star),Private Car,21 days,9382,4
678,Pakistan,Male,31-45,Camp (Mina),Private Car,7 days,6785,4
679,Pakistan,Male,60+,Camp (Mina),Group Transport,7 days,16735,5
680,Bangladesh,Female,46-60,Apartment,Bus,14 days,35177,5
681,India,Male,60+,Hotel (3 Star),Private Car,21 days,35712,5
682,Bangladesh,Female,60+,Hotel (5 Star),Private Car,14 days,21679,1
683,Malaysia,Male,31-45,Hotel (3 Star),Train (Haramain),7 days,22064,5
684,UK,Female,18-30,Hotel (5 Star),Group Transport,10 days,35563,4
685,UK,Male,31-45,Apartment,Train (Haramain),21 days,38092,2
686,India,Female,18-30,Hotel (5 Star),Bus,7 days,31867,5
687,Nigeria,Female,60+,Hotel (5 Star),Train (Haramain),7 days,38754,2
688,Nigeria,Male,18-30,Apartment,Train (Haramain),10 days,24502,4
689,Indonesia,Female,60+,Hotel (3 Star),Train (Haramain),7 days,5760,5
690,India,Female,46-60,Apartment,Group Transport,7 days,29142,1
691,Pakistan,Female,46-60,Hotel (5 Star),Bus,21 days,22290,1
692,Nigeria,Female,46-60,Apartment,Train (Haramain),21 days,10499,2
693,Egypt,Female,31-45,Hotel (5 Star),Group Transport,21 days,5364,1
694,UAE,Female,31-45,Apartment,Bus,14 days,24797,1
695,Pakistan,Female,60+,Camp (Mina),Private Car,10 days,37535,1
696,Malaysia,Female,46-60,Camp (Mina),Train (Haramain),21 days,21105,4
697,Egypt,Male,31-45,Apartment,Bus,14 days,12939,1
698,Egypt,Male,46-60,Hotel (3 Star),Train (Haramain),14 days,18936,3
699,India,Female,31-45,Hotel (5 Star),Private Car,10 days,20863,5
700,Indonesia,Female,18-30,Camp (Mina),Bus,10 days,17561,1
701,Malaysia,Male,18-30,Hotel (3 Star),Group Transport,7 days,15447,1
702,Nigeria,Male,46-60,Hotel (5 Star),Bus,14 days,35624,1
703,India,Male,60+,Camp (Mina),Group Transport,21 days,17411,3
704,Nigeria,Female,31-45,Camp (Mina),Bus,10 days,24465,1
705,India,Male,31-45,Apartment,Group Transport,14 days,24642,1
706,India,Female,18-30,Hotel (5 Star),Private Car,21 days,36262,5
707,India,Female,18-30,Hotel (3 Star),Private Car,14 days,35363,3
708,Indonesia,Male,60+,Hotel (3 Star),Private Car,10 days,7107,3
709,India,Female,60+,Hotel (3 Star),Bus,7 days,12928,1
710,Turkey,Female,60+,Hotel (5 Star),Private Car,14 days,24317,3
711,UAE,Female,46-60,Hotel (3 Star),Train (Haramain),21 days,30017,2
712,Nigeria,Female,18-30,Hotel (3 Star),Private Car,10 days,18528,3
713,Pakistan,Male,46-60,Hotel (3 Star),Group Transport,7 days,18313,3
714,Bangladesh,Male,18-30,Apartment,Group Transport,21 days,6559,3
715,Malaysia,Female,18-30,Apartment,Group Transport,21 days,20167,4
716,UK,Female,31-45,Hotel (5 Star),Bus,21 days,20343,4
717,Indonesia,Male,18-30,Hotel (5 Star),Train (Haramain),14 days,12523,4
718,Pakistan,Female,18-30,Hotel (3 Star),Private Car,10 days,33439,3
719,Egypt,Male,46-60,Apartment,Train (Haramain),21 days,20524,2
720,Turkey,Female,18-30,Camp (Mina),Train (Haramain),14 days,18285,3
721,UK,Female,46-60,Camp (Mina),Group Transport,10 days,15973,1
722,Bangladesh,Male,60+,Hotel (3 Star),Group Transport,10 days,27694,2
723,Pakistan,Male,18-30,Hotel (3 Star),Group Transport,14 days,9302,4
724,UK,Male,18-30,Apartment,Bus,14 days,27391,5
725,Pakistan,Male,46-60,Apartment,Train (Haramain),21 days,9611,2
726,Turkey,Female,60+,Apartment,Train (Haramain),10 days,14372,4
727,Bangladesh,Male,31-45,Hotel (5 Star),Bus,7 days,29312,2
728,Egypt,Female,60+,Hotel (5 Star),Bus,14 days,19080,2
729,India,Male,46-60,Hotel (3 Star),Bus,10 days,20082,3
730,Nigeria,Male,60+,Hotel (5 Star),Train (Haramain),10 days,35677,1
731,Egypt,Female,46-60,Apartment,Train (Haramain),21 days,25874,5
732,India,Male,46-60,Apartment,Group Transport,7 days,13378,4
733,Indonesia,Male,31-45,Hotel (5 Star),Group Transport,21 days,6597,2
734,UAE,Male,18-30,Camp (Mina),Train (Haramain),7 days,16600,5
735,Malaysia,Male,46-60,Hotel (3 Star),Group Transport,7 days,8747,2
736,Malaysia,Female,46-60,Camp (Mina),Bus,14 days,18879,1
737,Nigeria,Female,31-45,Hotel (3 Star),Private Car,10 days,18017,5
738,Bangladesh,Male,46-60,Camp (Mina),Group Transport,10 days,29815,4
739,Turkey,Male,18-30,Hotel (5 Star),Train (Haramain),10 days,23964,2
740,Bangladesh,Male,31-45,Hotel (3 Star),Group Transport,7 days,33812,1
741,Turkey,Female,18-30,Hotel (3 Star),Group Transport,10 days,29714,5
742,Bangladesh,Female,18-30,Hotel (3 Star),Group Transport,14 days,23890,2
743,UAE,Female,31-45,Apartment,Private Car,7 days,9725,2
744,Indonesia,Female,46-60,Apartment,Bus,7 days,25684,4
745,Indonesia,Male,18-30,Camp (Mina),Train (Haramain),7 days,31325,1
746,India,Male,18-30,Hotel (5 Star),Private Car,7 days,37542,3
747,UK,Male,18-30,Apartment,Train (Haramain),14 days,18092,2
748,Indonesia,Female,18-30,Hotel (3 Star),Train (Haramain),10 days,35382,5
749,Indonesia,Male,31-45,Apartment,Train (Haramain),14 days,30457,4
750,Egypt,Female,31-45,Hotel (5 Star),Private Car,10 days,11131,4
751,Egypt,Female,60+,Apartment,Bus,14 days,30215,2
752,India,Male,60+,Hotel (3 Star),Train (Haramain),21 days,17612,2
753,UK,Male,18-30,Camp (Mina),Bus,21 days,18091,2
754,Nigeria,Male,46-60,Hotel (3 Star),Bus,21 days,34759,3
